Job Title,Role,skills
Network Technician,Network Support Specialist,"Network troubleshooting, IT support, Network configuration, Technical knowledge, Problem-solving"
Operations Manager,Supply Chain Manager,"Supply chain logistics and management, Inventory control and procurement, Supplier relationship management, Data analysis and forecasting, Risk assessment and mitigation"
Procurement Manager,Procurement Analyst,"Procurement processes, Vendor assessment, Contract negotiation, Purchase order management, Spend analysis, Market research, Supplier relationship management, Data analysis, Problem-solving, Attention to detail, Communication skills, Financial acumen"
Procurement Manager,Supplier Diversity Manager,"Supplier diversity programs, Diversity and inclusion initiatives, Supplier assessment and certification, Data collection and reporting, Vendor outreach and engagement, Strategic planning, Communication skills, Relationship building, Attention to diversity and inclusion principles"
Research Analyst,Data Analyst Researcher,"Data analysis techniques, Research methodologies, Data collection and interpretation, Statistical analysis software (e.g., R, Python), Data visualization tools (e.g., Tableau, Power, BI), Research report writing, Critical thinking, Problem-solving, Communication skills, Attention to detail"
Research Analyst,Market Research Analyst,"Market research methodologies, Data collection and analysis, Consumer behavior analysis, Competitor analysis, Survey design and analysis, Statistical analysis software (e.g., SPSS, SAS), Data visualization, Trend analysis, Report writing, Communication skills, Attention to detail"
Research Analyst,Social Science Researcher,"Social science research methods, Qualitative and quantitative data analysis, Survey design and implementation, Ethnographic research, Interviewing skills, Research ethics, Statistical software (e.g., Stata, NVivo), Report writing, Communication skills, Critical thinking, Empathy"
SEM Specialist,Paid Advertising Specialist,"Google, Ads management, PPC campaign optimization, Keyword research, Ad copywriting, A/B testing, Conversion tracking"
SEM Specialist,Search Engine Marketer,"Search engine marketing, PPC advertising, SEO strategy, Data analysis, Digital marketing skills"
Software Architect,Cloud Architect,"Cloud computing platforms (AWS, Azure, etc.), Cloud security, Containerization (Docker, Kubernetes)"
Software Architect,Enterprise Architect,"Enterprise architecture, Business strategy alignment, IT governance and compliance"
Software Architect,Solution Architect,"Solution design, Technical architecture, Cloud computing and software development knowledge"
Software Developer,Mobile App Developer,"Mobile app development languages (e.g., Java, Swift, Kotlin), Cross-platform development (e.g., React, Native, Flutter), Mobile app design principles, APIs and web services integration, Debugging and troubleshooting"
Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby), API development, Database management (SQL or, NoSQL), Server management and deployment, Security best practices, Knowledge of web frameworks (e.g., Express, Django)"
Software Engineer,DevOps Engineer,"Automation and scripting (e.g., Python, Bash), Continuous, Integration/Continuous, Deployment (CI/CD), Containerization (e.g., Docker, Kubernetes), Infrastructure as, Code (e.g., Terraform, Ansible), Cloud platforms (e.g., AWS, Azure, GCP), Monitoring and troubleshooting skills"
Software Engineer,Frontend Developer,"Proficiency in, HTML, CSS, and, JavaScript, Experience with frontend frameworks like, React, Angular, or, Vue.js, Responsive web design, Cross-browser compatibility, Version control (e.g., Git), Frontend performance optimization"
Software Tester,Automation Tester,"Test automation tools (e.g., Selenium, Appium), Scripting languages (e.g., Python, Java), Test framework development, Continuous integration tools, Test data management"
Software Tester,Performance Tester,"Performance testing methodologies, Load testing tools (e.g., JMeter), Test script development, Performance profiling and analysis, Bottleneck identification"
Software Tester,Quality Assurance Analyst,"Quality assurance processes, Testing methodologies (e.g., manual, automated), Bug tracking and reporting, Test case development, Regression testing"
Systems Administrator,Database Administrator,"Database management systems (e.g., MySQL, Oracle, SQL, Server), Data security, Database tuning and optimization, Backup and recovery"
Systems Administrator,IT Support Specialist,"Technical troubleshooting, Hardware and software support, Customer service, Problem-solving, Communication"
Systems Engineer,Cloud Systems Engineer,"Cloud systems engineering, Cloud infrastructure (e.g., AWS, Azure), DevOps practices, Automation, Security in the cloud, Disaster recovery, Scalability"
Systems Engineer,Systems Integration Specialist,"Systems integration, Integration architecture, Data mapping, Middleware technologies, API integration, System testing, Troubleshooting"
UI Developer,Front-End Developer,"Front-end web development, HTML, CSS, JavaScript, Responsive design, Web performance optimization, Cross-browser compatibility"
UI Developer,UX/UI Designer,"User experience (UX) design, User interface (UI) design, Wireframing and prototyping, Usability testing, Design tools like, Sketch or, Figma"
UX Researcher,UX Strategist,"User experience strategy, User journey mapping, Design thinking"
UX Researcher,Usability Analyst,"Usability evaluation, User interface assessment, Usability testing tools and techniques"
UX Researcher,User Researcher,"User research methods, Usability testing, Data analysis and interpretation"
UX/UI Designer,User Experience Designer,"User-centered design principles, UX/UI design tools (e.g., Sketch, Adobe, XD), Wireframing and prototyping, Usability testing and user research, Information architecture and user flows"
Web Designer,E-commerce Web Designer,"E-commerce web design, UX/UI design, Shopping cart integration, Payment gateway integration, Mobile responsiveness, E-commerce platforms (e.g., Shopify)"
Web Designer,Frontend Web Designer,"Frontend web development, HTML/CSS, Responsive design, User interface (UI) design, Adobe, Creative, Suite, Collaboration skills"
Web Developer,Backend Web Developer,"Server-side programming (e.g., Node.js, Python), Database management (e.g., SQL, MongoDB)"
Web Developer,Frontend Web Developer,"HTML, CSS, JavaScript, Frontend frameworks (e.g., React, Angular), User experience (UX)"
Web Developer,Full-Stack Developer,"Frontend and backend development, Database integration, Problem-solving, API knowledge"
